Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:08bjJuoHJwfTnjNcuENOFz,"Gubben i lådan","Svart, vitt och allt däremellan","Daniel Adams-Ray",2010-01-01,230160,53,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Universal Music AB",0.467,0.622,10,-5.475,1,0.0263,0.00531,0,0.36,0.605,84.957,4
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!","Etta James",1960,179693,77,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"soul,jazz blues,soul blues,blues,vocal jazz","Geffen*",0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
spotify:track:5rTZToEwovN6JEBcPps7Ph,"Sjösala vals","Evert Taube/Musik vi minns","Evert Taube",2003-01-01,177466,32,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Universal Music AB",0.613,0.266,4,-14.411,1,0.0506,0.991,0.495,0.117,0.631,68.854,3
spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,"Knockin' On Heaven's Door","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Bob Dylan",1973-07-13,149880,83,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"folk rock,folk,singer-songwriter,roots rock","Columbia/Legacy",0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4
spotify:track:1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version","Poems, Prayers and Promises","John Denver",1971,193937,77,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"folk","RCA/Legacy",0.462,0.395,9,-9.376,1,0.0264,0.758,0,0.121,0.625,82.259,4
spotify:track:5QpaGzWp0hwB5faV8dkbAz,"Wherever You Will Go","Camino Palmero","The Calling",2001,208600,80,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"pop rock","RCA Records Label",0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,4
spotify:track:2EM9zpAc7PVeoAydmbfVIL,"La Camisa Negra","Mi Sangre","Juanes",2004-01-01,216706,75,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"latin pop,colombian pop,rock en español","National Own (UC)",0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,4
spotify:track:1IWzfq3sLedGQ3fb2hAMBA,"Rhythm Is A Dancer","The Madman's Return","SNAP!",1992-01-01,332229,4,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"eurodance","BMG Rights Management GmbH",0.757,0.651,9,-14.916,0,0.0333,0.214,0.261,0.0902,0.861,124.368,4
spotify:track:7zLGHdfJ3JRPxvc96mEPEi,"Out of Touch","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2009-02-20,249573,67,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"yacht rock,soft rock","RCA Records Label",0.806,0.649,9,-9.004,0,0.0347,0.0391,0.0000555,0.0557,0.897,114.834,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,92,true,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:6ECp64rv50XVz93WvxXMGF,"This Love","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,206200,87,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"pop","Interscope Records*",0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,4
spotify:track:4hrae8atte6cRlSC9a7VCO,"Always On Time","Pain Is Love","Ja Rule;Ashanti",2001-01-01,245133,3,true,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"east coast hip hop,r&b","RAL (Rush Associated Label)",0.839,0.706,5,-6.104,0,0.199,0.208,0,0.242,0.839,96.673,4
spotify:track:1er4mjSaS1VGfMp23rzsCV,"Living Next Door to Alice","Sister Jane","New World",2020-02-21,224080,31,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Warner Music Group - X5 Music Group",0.541,0.582,7,-7.39,1,0.036,0.327,0.00000131,0.162,0.527,128.513,4
spotify:track:3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)","Bad Boy's 10th Anniversary- The Hits","Diddy;Faith Evans;112",2004-03-09,301520,74,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"hip hop,east coast hip hop,r&b","Bad Boy Records",0.862,0.479,7,-9.199,1,0.0645,0.0523,0.00126,0.589,0.924,109.877,4
spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,"Suga Suga","Tha Smokin' Nephew","Baby Bash;Frankie J",2003-01-01,239026,74,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Universal Records",0.662,0.748,5,-3.041,0,0.268,0.688,0.00000858,0.0841,0.535,82.331,4
spotify:track:6FRtjadDsEhZIQIlh1loEM,"To the Moon & Back","Savage Garden","Savage Garden",1997-03-04,341066,62,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Sony Music Entertainment",0.584,0.76,0,-7.369,0,0.0359,0.0205,0.00000725,0.1,0.325,104.101,4
